t(s),X(m)_A,Y(m)_A,dX/dt(m/s)_A,dY/dt(m/s)_A,X(m)_B,Y(m)_B,dX/dt(m/s)_B,dY/dt(m/s)_B,X(m)_C,Y(m)_C,dX/dt(m/s)_C,dY/dt(m/s)_C,X(m)_D,Y(m)_D,dX/dt(m/s)_D,dY/dt(m/s)_D,X(m)_G,Y(m)_G,dX/dt(m/s)_G,dY/dt(m/s)_G,X(m)_H,Y(m)_H,dX/dt(m/s)_H,dY/dt(m/s)_H,X(m)_I,Y(m)_I,dX/dt(m/s)_I,dY/dt(m/s)_I,X(m)_J,Y(m)_J,dX/dt(m/s)_J,dY/dt(m/s)_J,X(m)_L,Y(m)_L,dX/dt(m/s)_L,dY/dt(m/s)_L,X(m)_M,Y(m)_M,dX/dt(m/s)_M,dY/dt(m/s)_M
19002.0,3022.1841,1826.5123,5.7033,5.9035,2995.9518,1794.6497,9.7652,4.7886,2982.2866,1798.0013,11.8974,1.7506,2997.1093,1799.0148,8.1973,3.5797,3015.2625,1822.8508,9.3583,0.3807,2986.2565,1795.3756,11.9567,1.6184,2995.4399,1797.2164,9.6985,4.0856,2980.6935,1792.8369,11.6024,0.9153,2993.6119,1789.8226,10.4195,4.1307,3023.2472,1828.4127,8.5344,5.3814
19002.2,3023.2303,1827.7366,4.7791,6.3349,2997.8676,1795.6529999999998,9.3704,5.2256,2984.6584,1798.3689,11.8382,1.9623,2998.6868,1799.7833,7.5914,4.0467,3017.1494,1822.9043,9.4836,0.2202,2988.6446,1795.7419,11.8898,2.1195,2997.3517,1798.0538,9.4123,4.2728,2983.0253,1793.0515,11.709,1.2695,2995.6723,1790.6984,10.1777,4.6116,3024.9292,1829.5059,8.1948,5.6514
19002.4,3024.0958,1829.0463,3.9129,6.7366,2999.7,1796.7399,8.9437,5.6135,2987.0219,1798.7862,11.8108,2.2484,3000.1458,1800.6335,7.0262,4.4241,3019.0559,1822.9388,9.5413,0.206,2991.0124,1796.2235,11.7483,2.7287,2999.2048,1798.9255,9.1148,4.4437,2985.3771,1793.3447,11.794,1.6915,2997.683,1791.6672,9.9184,5.0573,3026.5251,1830.6732,7.6601,6.1326
19002.6,3024.7954,1830.4313,3.1372,7.078,3001.4451,1797.8983,8.5103,5.9404,2989.3827,1799.2683,11.7939,2.6063,3001.4973,1801.5529,6.525,4.7615,3020.9659,1822.9867,9.4972,0.3832,2993.3439,1796.8334,11.534,3.355,3000.9976,1799.8313,8.7955,4.6143,2987.7429,1793.7281,11.8434,2.1597,2999.6397,1792.7213,9.6348,5.4581,3027.9932,1831.9589,6.9234,6.7863
19002.8,3025.3506,1831.8775,2.4758,7.3521,3003.1041,1799.1161,8.0928,6.2125,2991.7395,1799.8287,11.7501,3.0214,3002.7558,1802.5381,6.102,5.0873,3022.8548,1823.0921,9.3061,0.8261,2995.626,1797.5654,11.2671,3.921,3002.723,1800.7713,8.4262,4.7793,2990.1145,1794.2086,11.8477,2.6432,3001.5369,1793.8504,9.3311,5.7999,3029.2945,1833.3878,6.0307,7.4806
19003.0,3025.7857,1833.3721,1.9322,7.566,3004.6822,1800.3833,7.7029,6.4374,2994.0827,1800.4768,11.6463,3.4711,3003.9381,1803.5878,5.7662,5.4006,3024.6884,1823.3171,8.9303,1.6065,2997.8507,1798.4018,10.971,4.3896,3004.3681,1801.743,7.9903,4.9224,2992.482,1794.7854,11.7995,3.1081,3003.3721,1795.0413,9.0257,6.0702,3030.4055,1834.9512,5.0731,8.0663
19003.2,3026.1235,1834.9039,1.4794,7.7225,3006.1853,1801.691,7.336,6.6097,2996.398,1801.2172,11.4662,3.9399,3005.0623,1804.6983,5.525,5.6876,3026.427,1823.7347,8.3715,2.7207,3000.0144,1799.3213,10.6628,4.7611,3005.9192,1802.7402,7.4972,5.0359,2994.8343,1795.4518,11.6961,3.5346,3005.1472,1796.2785,8.7376,6.2648,3031.3237,1836.6143,4.1288,8.4692
19003.4,3026.3775,1836.4611,1.0671,7.8215,3007.6166,1803.0272,6.9806,6.7085,2998.6692,1802.0528,11.2103,4.4255,3006.1481,1805.8629,5.3842,5.9366,3028.037,1824.4054,7.6886,4.0353,3002.1158,1800.3062,10.352,5.0572,3007.3669,1803.7573,6.9716,5.1347,2997.1604,1796.1992,11.5445,3.9279,3006.8671,1797.5472,8.4674,6.3937,3032.057,1838.3388,3.2116,8.7161
19003.6,3026.5503,1838.0325,0.6471,7.8796,3008.9775,1804.3744,6.6353,6.7102,3000.8821,1802.9874,10.8854,4.9253,3007.216,1807.073,5.3371,6.1389,3029.5024,1825.3488,6.9734,5.324,3004.1551,1801.3442,10.044,5.3037,3008.7078,1804.7941,6.4361,5.2525,2999.4521,1797.0229,11.3624,4.3111,3008.5342,1798.836,8.1945,6.4825,3032.6084,1840.1007,2.2791,8.8765
19003.8,3026.6363,1839.6129,0.1978,7.9337,3010.2707,1805.7113,6.3128,6.6095,3003.0234,1804.0229,10.493,5.4202,3008.2829,1808.3185,5.3539,6.288,3030.8264,1826.535,6.2924,6.3905,3006.1334,1802.4277,9.7447,5.5171,3009.9414,1805.8584,5.9053,5.4219,3001.7054,1797.9237,11.1688,4.7072,3010.1449,1800.1402,7.8959,6.5646,3032.9687,1841.8894,1.2853,8.9892
19004.0,3026.6295,1841.2059,-0.269,8.0132,3011.5026,1807.0182,6.0253,6.438,3005.0793,1805.1555,10.0306,5.8785,3009.3575,1809.5882,5.3861,6.3808,3032.0193,1827.905,5.6479,7.1638,3008.053,1803.551,9.4596,5.7004,3011.0699,1806.9629,5.3921,5.6509,3003.9196,1798.9058,10.971,5.1251,3011.6925,1801.4618,7.565,6.6677,3033.1225,1843.6964,0.22,9.0428
19004.2,3026.5287,1842.8182,-0.7229,8.1142,3012.6808,1808.2865,5.7736,6.2671,3007.0356,1806.3743,9.5027,6.2751,3010.4374,1810.8708,5.3834,6.4204,3033.0855,1829.4005,4.9979,7.6889,3009.9172,1804.7078,9.1893,5.8481,3012.0982,1808.1187,4.9106,5.9166,3006.0938,1799.9737,10.76,5.5585,3013.1709,1802.8072,7.215,6.8016,3033.0566,1845.5066,-0.8855,9.0045
19004.4,3026.3403,1844.4516,-1.1363,8.209,3013.8121,1809.5251,5.5548,6.1811,3008.8804,1807.6655,8.9302,6.6042,3011.5109,1812.1563,5.3118,6.4197,3034.0185,1830.9805,4.3044,8.0513,3011.7288,1805.8902,8.9232,5.9573,3013.0342,1809.3295,4.4742,6.1832,3008.2236,1801.1292,10.5173,5.9929,3014.5785,1804.1825,6.8704,6.9554,3032.7683,1847.2982,-1.9788,8.8551
19004.6,3026.0742,1846.1018,-1.498,8.2774,3014.9028,1810.759,5.3696,6.2361,3010.6077,1809.016,8.3461,6.8746,3012.5621,1813.4387,5.1614,6.4032,3034.8073,1832.6211,3.554,8.3249,3013.4865,1807.0908,8.6373,6.0399,3013.8879,1810.592,4.096,6.4241,3010.3007,1802.3708,10.223,6.4149,3015.9191,1805.5894,6.5627,7.1064,3032.2651,1849.0486,-3.013,8.6038
19004.8,3025.7411,1847.7626,-1.8161,8.3246,3015.9599,1812.0195,5.2119,6.4302,3012.2188,1810.4153,7.7785,7.0995,3013.5755,1814.7176,4.9428,6.4059,3035.4401,1834.3105,2.7461,8.5571,3015.1837,1808.3062,8.3019,6.1234,3014.6726,1811.8992,3.7916,6.6313,3012.3128,1803.6952,9.8618,6.823,3017.2036,1807.025,6.3251,7.2347,3031.5631,1850.7397,-3.9672,8.2781
19005.0,3025.3478,1849.4316,-2.1168,8.3741,3016.9875,1813.3310000000001,5.0584,6.7069,3013.7191,1811.8558,7.2357,7.2954,3014.5392,1816.001,4.6762,6.459,3035.9057,1836.0439,1.8755,8.769,3016.8073,1809.5402,7.8939,6.2434,3015.4046,1813.2445,3.5761,6.8126,3014.2454,1805.1,9.4239,7.2303,3018.4492,1808.4833,6.1787,7.3341,3030.6783,1852.3598,-4.8572,7.9007
19005.2,3024.8944,1851.1122,-2.4522,8.4427,3017.9833,1814.7023,4.8798,6.9949,3015.1131,1813.3335,6.7069,7.4868,3015.4459,1817.3012,4.3811,6.5682,3036.1903,1837.8181,0.9368,8.955,3018.3412,1810.8035,7.4079,6.4291,3016.103,1814.6242,3.4483,6.9813,3016.0823,1806.5873,8.9029,7.6541,3019.675,1809.9587,6.117,7.4148,3029.6202,1853.9,-5.7179,7.4745
